"filename", "language", "TypeScript", "JSON", "YAML", "Handlebars", "Markdown", "SCSS", "JavaScript", "CSS", "HTML", "XML", "comment", "blank", "total"
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\ChangePassword\ChangePassword.js", "JavaScript", 0, 0, 0, 0, 0, 0, 114, 0, 0, 0, 6, 6, 126
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\ChangePassword\_changePassword.scss", "SCSS", 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 20, 95
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\FooterComps\GDPR\GDPR.js", "JavaScript", 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 15, 107
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\FooterComps\GDPR\GdprSectionI\GdprSectionI.js", "JavaScript", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\FooterComps\GDPR\GdprSectionI\_gdprSectionI.scss", "SCSS", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 6, 37
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\FooterComps\GDPR\_gdpr.scss", "SCSS", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 5, 17
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\ForgottenPassword\ForgottenPassword.js", "JavaScript", 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 3, 6, 95
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\ForgottenPassword\_forgottenPassword.scss", "SCSS", 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 21, 95
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\FrontPage\FrontPage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 2, 6, 31
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\FrontPage\Membership\Membership.js", "JavaScript", 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 8, 105
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\FrontPage\Membership\_membership.scss", "SCSS", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 12, 63
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\FrontPage\PickedScripts\Pickedscripts.comp.js", "JavaScript", 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 1, 9, 106
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\FrontPage\PickedScripts\_Pickedscript.comp.scss", "SCSS", 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 1, 11, 70
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\FrontPage\SectionIII\SectionIII.js", "JavaScript", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 7, 39
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\FrontPage\SectionIII\_sectionIII.scss", "SCSS", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 5, 30
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\FrontPage\SectionII\SectionII.js", "JavaScript", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 7, 42
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\FrontPage\SectionII\_sectionII.scss", "SCSS", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 5, 29
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\FrontPage\SectionI\SectionI.js", "JavaScript", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 5, 29
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\FrontPage\SectionI\_sectionI.scss", "SCSS", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 6, 37
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\Library\Library.comp.js", "JavaScript", 0, 0, 0, 0, 0, 0, 194, 0, 0, 0, 4, 14, 212
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\Library\LibraryCategoryComponent.js", "JavaScript", 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 1, 10, 86
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\Library\_library.comp.scss", "SCSS", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 13, 55
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\Library\_librarycategorycomponent.scss", "SCSS", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\Login\Login.js", "JavaScript", 0, 0, 0, 0, 0, 0, 163, 0, 0, 0, 7, 11, 181
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\Login\_login.scss", "SCSS", 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 23, 101
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\PdfViewer\PdfViewer.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 330, 0, 0, 24, 66, 420
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\PdfViewer\PdfViewer.js", "JavaScript", 0, 0, 0, 0, 0, 0, 473, 0, 0, 0, 55, 65, 593
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\Profile\AdminProfile\AdminProfile.comp.js", "JavaScript", 0, 0, 0, 0, 0, 0, 131, 0, 0, 0, 8, 14, 153
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\Profile\AdminProfile\AdminScriptsTable\AdminScriptsTable.comp.js", "JavaScript", 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 4, 7, 120
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\Profile\AdminProfile\AdminScriptsTable\_adminScriptsTable.scss", "SCSS", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 5, 8, 50
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\Profile\AdminProfile\AdminUserTable\AdminUserTable.comp.js", "JavaScript", 0, 0, 0, 0, 0, 0, 134, 0, 0, 0, 2, 5, 141
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\Profile\AdminProfile\AdminUserTable\_adminUserTable.scss", "SCSS", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 5, 8, 50
